Cell,X,Y
Cell74,641.4029273022666,-11268.74255815379
Cell1062,-8003.053840365581,-10829.205109994768
Cell1465,-352.8989142753496,32524.750346569606
Cell1743,4560.878734027108,-13655.727448842776
Cell1875,9145.404526079754,-14905.42191755842
Cell1959,-13927.076343931341,-367.3724565736519
Cell2634,18362.97513864589,1279.3018712631717
Cell2761,-15331.292353752036,1653.789817117229
Cell2814,4276.0161937534385,18314.755501387444
Cell3034,8202.284174314109,4553.4216067999905
Cell3218,-13217.928411368843,-3950.087512817281
Cell3609,6620.901895108543,1968.7646224028372
Cell3731,14913.589452787324,-3247.614292627858
Cell3958,-1730.563173198343,30347.854004225155
Cell3996,11074.99229384135,-10560.671335106119
Cell4031,3864.336042368092,37673.021177118906
Cell4474,4109.476558315507,3065.9021070072845
Cell4678,8699.561232806853,35348.1114536436
Cell4683,1307.1434876455194,-13383.53126942728
Cell4866,1851.645958890142,-12589.736124288784
Cell5028,-2967.2606250500758,6393.997016846585
Cell5250,-8426.911165534506,-6222.071589982218
Cell5270,22605.068449285685,-13494.569483008261
Cell5643,-6285.870533316316,-8608.72992748481
Cell6058,22951.744179053774,-5452.521392833128
Cell6112,-1725.930845557777,29709.477150662202
Cell6505,1726.7895003839478,-9407.366136297336
Cell6778,-14398.959934661158,628.7058630994619
Cell6792,4954.038952624478,38487.2927235386
Cell6925,-2563.4116981684,-8730.47708160779
Cell7182,4087.160119767368,2556.0758451296706
Cell7350,-3331.142378109217,24790.92618109679
Cell7817,8494.476511093357,-12750.988247665498
Cell8050,1676.4253269034646,23029.894965800522
Cell8429,-8139.50589893274,-3128.875617239561
Cell9015,3354.6432353187283,-11723.805460730287
Cell9426,-1531.465769437268,-6903.031161752254
Cell9475,12742.735990151477,-1438.8695349211353
Cell9583,4999.68589228763,-11961.886951221204
Cell9855,-1132.4023485763444,28124.752027520382
Cell9892,17696.262654233866,1616.0460219996723
Cell10159,16082.08856662967,-10953.39367715485
Cell10184,12580.236528993713,-14451.154213650969
Cell10255,3133.402420826304,-15940.751650416574
Cell10541,-8175.335594499016,18953.57876844547
Cell11041,7509.896909491439,-13892.822370108588
Cell11253,-3339.797668193389,-7195.4771686081085
Cell11891,7090.0433710715,-9192.997302820591
Cell12141,2899.9770956184093,-13922.009517519897
Cell12182,-2037.8294662399696,-1781.716589478388
Cell12510,1176.409783097584,-14102.814416682131
Cell12791,-1198.8067856027053,-10289.507572620832
Cell12823,14095.552680413943,-6602.625506579574
Cell13041,9385.173867017835,-5074.134895003493
Cell13191,-6484.102508923812,10012.779603891837
Cell13568,5860.888076203184,1798.1508736788726
Cell13758,4476.408482540276,-8281.719455688723
Cell13933,8521.945920107393,13964.977604775127
Cell14050,-1548.166563137054,32787.624663083596
Cell14122,-11137.342964173531,-1449.7697561673465
Cell14366,7041.572970038005,-12231.118244323481
Cell15882,4656.514212262957,-12200.217601908234
Cell16231,11306.937546813107,-1372.7775724771593
Cell16786,-6196.227877251808,-7809.686901521775
Cell17097,8180.972150166152,-5169.544655155312
Cell17475,-4938.117299926682,9663.874626848808
Cell17549,-6677.102374813832,10817.518640190534
Cell17621,-10121.060818207328,-8858.337205470745
Cell17702,4066.6688769423404,-11968.984770207575
Cell17840,2265.717638967426,37572.27481153546
Cell18366,-4608.200501770692,8522.88439903032
Cell18449,2874.0388036259437,-14450.999959637289
Cell18641,-991.6322419034536,28206.441026561613
Cell18885,-11070.155202740976,-7531.545290554773
Cell19322,2802.282991829803,-13186.942296891832
Cell19444,-5565.6267776638515,-5855.985927496508
Cell19448,21109.751394157687,-11955.504490339777
Cell19483,-14339.350323799226,-852.5287313075426
Cell19601,7616.984590046415,-9794.097738284945
Cell19851,16901.33841756206,-10766.853031839666
Cell19909,146.16387484179748,-2296.517799868658
Cell20671,-4236.370412881169,-4994.960972055945
Cell20762,25151.622632558076,-9335.466000495733
Cell20837,-1129.1457831467922,-10634.942535563987
Cell20890,-9302.83446562347,226.85671791529393
Cell21059,9122.84597108092,-7127.0034249138425
Cell21415,12038.201265089441,-13113.665394347996
Cell21838,-5474.445130269995,7570.195605465536
Cell21872,2114.1833716087563,-13850.408974703847
Cell21916,-3204.2295107419227,-12410.544749977684
Cell22022,22566.377950954608,-13136.419308702105
Cell22043,15456.099325723835,-7751.966437646459
Cell22237,-4147.859326138101,-4045.4911036357134
Cell22583,7487.937975374823,4598.089150417355
Cell22613,9808.411678816748,3393.9602786250443
Cell22985,535.7575912264864,-7023.0044009948715
Cell23202,15028.493473133918,-14587.523814086248
Cell23408,868.5012111599191,-11950.459790280132
Cell23591,2282.6171615480607,-13070.110450267135
Cell23786,-1180.0724620735632,29051.048546490973
Cell24010,-2512.528036667748,-6007.521558570727
Cell24122,-8954.836155254787,7427.24130469795
Cell24194,-6513.270011833837,11326.772382554325
Cell24459,2755.0345174596346,37772.52398015766
Cell24682,-1343.8349042929838,-7319.286944162581
Cell24756,-12177.455037581423,8686.79111193919
Cell25125,4177.889819696014,-13180.14910669586
Cell25379,-2963.6415944518076,-6055.324027943056
Cell25523,21843.09041226648,-12506.23481200608
Cell25597,-7659.422785861226,-7660.945946031451
Cell25723,9356.390715868203,-12230.158226284433
Cell25802,19209.04284259,-14496.30167912688
Cell25824,263.8307404074323,6190.062901100337
Cell25856,-11761.33522081294,-2193.6020983154335
Cell26014,-113.6535762867528,6602.510572944433
Cell26051,26092.417613364312,-8154.127609354929
Cell26201,-9158.388132905871,12095.95128297037
Cell26784,238.28679283277086,34715.4820698163
Cell26805,12912.698679108673,-12154.411045727767
Cell26877,19763.92717361153,-12853.765987089799
Cell27459,3291.1940695174803,4715.703620375276
Cell27954,2276.131189374062,-1142.5022390652678
Cell27981,-9326.831690820602,-3039.367776824097
