From,To,Connectivity
0,1,0.9263730040248672
0,2,0.6943036367649867
0,3,0.040322315082766035
0,4,0.2945463428597399
0,5,1.0
0,6,0.17598335798375458
0,7,0.0605259551878579
0,8,1.0
0,9,1.0
0,10,0.5536209309433294
0,11,0.6893407324624449
1,2,0.5899931704261131
1,3,0.0046966285490906996
1,4,0.0499294006992758
1,5,1.0
1,6,0.1218872504011944
1,7,0.010470271032554197
1,8,1.0
1,9,0.40528216824892344
1,10,0.3378236684224316
1,11,0.4384386692062878
2,3,0.03384234996123717
2,4,0.07230690532516652
2,5,0.8335302064929564
2,6,0.11895408679701046
2,7,0.04600351145620016
2,8,0.8245549138465944
2,9,0.5584074032104798
2,10,1.0
2,11,1.0
3,4,0.027546058178691886
3,5,0.002144812050667214
3,6,0.6848698574781023
3,7,0.5957409948504802
3,8,0.043775090829227425
3,9,0.032923089800807846
3,10,0.02229751855120243
3,11,0.43959951854688695
4,5,0.01915261565844782
4,6,0.10876945217565787
4,7,0.2981837010228389
4,8,0.32636480149437147
4,9,1.0
4,10,0.0988330665386858
4,11,0.49803149105731787
5,6,0.21298859096615502
5,8,0.5465661167457591
5,9,0.20324454822265986
5,10,1.0
5,11,0.12528310931093287
6,7,0.11792350493887031
6,8,0.2992730986423165
6,9,0.8695079202793674
6,10,0.9830475372686247
6,11,0.4240851513019001
7,8,0.05952448393520919
7,9,0.027086613111471442
7,10,0.01975583249873376
7,11,0.9942434170815446
8,9,1.0
8,10,0.7687749322921892
8,11,1.0
9,10,0.75937775443246
9,11,0.8006412398084487
10,11,0.6870046256316424
