Cluster,X,Y
0,-3.653174802165239,-0.48321412562139127
1,-2.6973607358266296,1.1492576791725324
2,-5.330533773895373,-0.2797790246224339
3,-7.428533958764467,-7.154584155925543
4,-1.2356162182680939,-4.625862753395851
5,-5.274048978779263,1.7027193277751127
6,-6.857821317544815,-3.660807926456236
7,-4.169095999124311,-7.435823131378245
8,-2.530593433024129,-1.35549616760143
9,-3.408281565484235,-2.7373262305899604
10,-6.365934898336684,-1.2658803214968635
11,-4.548639755332302,-3.755024265321284
